n,false_activation,miss,type_acc,param_acc,scene_id
60,0.0,0.3333333333333333,0.6666666666666666,0.0,BR01
43,0.0,0.46511627906976744,0.5348837209302325,0.0,BR02
60,0.0,0.3333333333333333,0.6666666666666666,0.0,BR03
60,0.0,0.3333333333333333,0.6666666666666666,0.0,BR04
40,0.0,0.5,0.5,0.0,BR05
40,0.0,0.5,0.5,0.0,BR06
10,0.0,0.0,1.0,,BR07
24,0.0,0.16666666666666666,0.8333333333333334,0.0,BR08
36,0.0,0.4444444444444444,0.5555555555555556,0.0,BR09
44,0.0,0.45454545454545453,0.5454545454545454,0.0,BR10
40,0.0,0.5,0.5,0.0,LR01
60,0.0,0.3333333333333333,0.6666666666666666,0.0,LR02
54,0.0,0.37037037037037035,0.6296296296296297,0.0,LR03
40,0.0,0.5,0.5,0.0,LR04
40,0.0,0.5,0.5,0.0,LR05
60,0.0,0.3333333333333333,0.6666666666666666,0.0,LR06
54,0.0,0.0,1.0,,LR07
50,0.0,0.2,0.8,0.0,LR08
50,0.0,0.2,0.8,0.0,LR09
43,0.0,0.16279069767441862,0.8372093023255814,0.0,LR10
